date_only,BUY,SELL,long_count,short_count,long_ratio
2023-05-01,3,0,3,0,1.0
2023-12-05,7,2,7,2,0.7777777777777778
2023-12-14,5,6,5,6,0.45454545454545453
2023-12-15,2,0,2,0,1.0
2023-12-16,3,0,3,0,1.0
2023-12-17,3,11,3,11,0.21428571428571427
2023-12-18,2,0,2,0,1.0
2023-12-19,5,10,5,10,0.3333333333333333
2023-12-20,10,8,10,8,0.5555555555555556
2023-12-21,22,27,22,27,0.4489795918367347
2023-12-22,8,2,8,2,0.8
2023-12-23,5,8,5,8,0.38461538461538464
2023-12-24,21,18,21,18,0.5384615384615384
2023-12-25,2,1,2,1,0.6666666666666666
2023-12-27,15,13,15,13,0.5357142857142857
2023-12-28,10,13,10,13,0.43478260869565216
2023-12-29,31,19,31,19,0.62
2023-12-30,20,32,20,32,0.38461538461538464
2024-01-01,10,8,10,8,0.5555555555555556
2024-01-02,9,8,9,8,0.5294117647058824
2024-01-03,32,35,32,35,0.47761194029850745
2024-01-04,2,3,2,3,0.4
2024-01-05,31,35,31,35,0.4696969696969697
2024-01-06,11,11,11,11,0.5
2024-01-07,52,45,52,45,0.5360824742268041
2024-01-08,40,88,40,88,0.3125
2024-01-09,28,42,28,42,0.4
2024-01-10,92,101,92,101,0.47668393782383417
2024-01-11,13,8,13,8,0.6190476190476191
2024-01-12,5,2,5,2,0.7142857142857143
2024-01-15,5,9,5,9,0.35714285714285715
2024-01-16,4,5,4,5,0.4444444444444444
2024-01-17,31,22,31,22,0.5849056603773585
2024-01-18,18,28,18,28,0.391304347826087
2024-01-19,31,17,31,17,0.6458333333333334
2024-01-20,60,46,60,46,0.5660377358490566
2024-01-21,3,8,3,8,0.2727272727272727
2024-01-22,51,34,51,34,0.6
2024-01-23,33,12,33,12,0.7333333333333333
2024-01-24,27,41,27,41,0.39705882352941174
2024-01-25,0,6,0,6,0.0
2024-01-26,4,1,4,1,0.8
2024-01-28,0,11,0,11,0.0
2024-01-29,21,53,21,53,0.28378378378378377
2024-01-30,28,21,28,21,0.5714285714285714
2024-01-31,470,389,470,389,0.5471478463329453
2024-02-01,6,0,6,0,1.0
2024-02-02,19,23,19,23,0.4523809523809524
2024-02-03,18,38,18,38,0.32142857142857145
2024-02-04,19,16,19,16,0.5428571428571428
2024-02-05,33,39,33,39,0.4583333333333333
2024-02-06,518,570,518,570,0.47610294117647056
2024-02-07,7,8,7,8,0.4666666666666667
2024-02-08,2,8,2,8,0.2
2024-02-11,23,11,23,11,0.6764705882352942
2024-02-12,11,5,11,5,0.6875
2024-02-13,0,14,0,14,0.0
2024-02-14,34,77,34,77,0.3063063063063063
2024-02-15,52,11,52,11,0.8253968253968254
2024-02-16,115,67,115,67,0.6318681318681318
2024-02-17,50,44,50,44,0.5319148936170213
2024-02-18,38,59,38,59,0.3917525773195876
2024-02-19,41,60,41,60,0.40594059405940597
2024-02-20,13,26,13,26,0.3333333333333333
2024-02-21,7,15,7,15,0.3181818181818182
2024-02-22,35,53,35,53,0.3977272727272727
2024-02-23,131,12,131,12,0.916083916083916
2024-02-25,2,3,2,3,0.4
2024-02-26,27,12,27,12,0.6923076923076923
2024-02-27,33,30,33,30,0.5238095238095238
2024-02-28,31,14,31,14,0.6888888888888889
2024-02-29,60,56,60,56,0.5172413793103449
2024-03-01,37,100,37,100,0.27007299270072993
2024-03-02,28,3,28,3,0.9032258064516129
2024-03-03,36,43,36,43,0.45569620253164556
2024-03-04,161,139,161,139,0.5366666666666666
2024-03-05,55,125,55,125,0.3055555555555556
2024-03-06,49,33,49,33,0.5975609756097561
2024-03-08,19,48,19,48,0.2835820895522388
2024-03-09,83,34,83,34,0.7094017094017094
2024-03-10,38,4,38,4,0.9047619047619048
2024-03-11,12,30,12,30,0.2857142857142857
2024-03-12,1,7,1,7,0.125
2024-03-13,7,0,7,0,1.0
2024-03-14,2,16,2,16,0.1111111111111111
2024-03-15,26,36,26,36,0.41935483870967744
2024-03-16,5,3,5,3,0.625
2024-03-17,18,5,18,5,0.782608695652174
2024-03-18,13,6,13,6,0.6842105263157895
2024-03-19,17,7,17,7,0.7083333333333334
2024-03-20,29,40,29,40,0.42028985507246375
2024-03-21,26,2,26,2,0.9285714285714286
2024-03-24,15,4,15,4,0.7894736842105263
2024-03-25,0,7,0,7,0.0
2024-03-26,8,110,8,110,0.06779661016949153
2024-03-27,19,19,19,19,0.5
2024-03-28,12,1,12,1,0.9230769230769231
2024-03-29,9,6,9,6,0.6
2024-03-30,1,44,1,44,0.022222222222222223
2024-03-31,0,13,0,13,0.0
2024-04-01,32,45,32,45,0.4155844155844156
2024-04-02,10,31,10,31,0.24390243902439024
2024-04-03,3,1,3,1,0.75
2024-04-04,0,32,0,32,0.0
2024-04-05,17,83,17,83,0.17
2024-04-06,0,16,0,16,0.0
2024-04-07,0,23,0,23,0.0
2024-04-08,1,29,1,29,0.03333333333333333
2024-04-09,0,3,0,3,0.0
2024-04-10,40,1,40,1,0.975609756097561
2024-04-11,14,2,14,2,0.875
2024-04-12,43,86,43,86,0.3333333333333333
2024-04-13,46,43,46,43,0.5168539325842697
2024-04-14,46,61,46,61,0.42990654205607476
2024-04-15,18,23,18,23,0.43902439024390244
2024-04-16,31,16,31,16,0.6595744680851063
2024-04-17,13,1,13,1,0.9285714285714286
2024-04-19,5,30,5,30,0.14285714285714285
2024-04-20,20,2,20,2,0.9090909090909091
2024-04-22,0,9,0,9,0.0
2024-04-23,37,29,37,29,0.5606060606060606
2024-04-24,13,7,13,7,0.65
2024-04-25,74,0,74,0,1.0
2024-04-26,0,3,0,3,0.0
2024-04-27,0,27,0,27,0.0
2024-04-28,0,58,0,58,0.0
2024-04-29,24,21,24,21,0.5333333333333333
2024-04-30,24,0,24,0,1.0
2024-05-01,14,0,14,0,1.0
2024-05-03,3,33,3,33,0.08333333333333333
2024-05-04,0,9,0,9,0.0
2024-05-05,1,5,1,5,0.16666666666666666
2024-05-06,8,1,8,1,0.8888888888888888
2024-05-07,6,12,6,12,0.3333333333333333
2024-05-08,12,1,12,1,0.9230769230769231
2024-05-09,9,19,9,19,0.32142857142857145
2024-05-10,16,6,16,6,0.7272727272727273
2024-05-11,0,9,0,9,0.0
2024-05-12,17,6,17,6,0.7391304347826086
2024-05-13,5,23,5,23,0.17857142857142858
2024-05-14,23,0,23,0,1.0
2024-05-15,11,25,11,25,0.3055555555555556
2024-05-16,14,13,14,13,0.5185185185185185
2024-05-18,7,18,7,18,0.28
2024-05-19,8,0,8,0,1.0
2024-05-20,7,3,7,3,0.7
2024-05-21,29,96,29,96,0.232
2024-05-22,0,6,0,6,0.0
2024-05-23,189,136,189,136,0.5815384615384616
2024-05-24,0,2,0,2,0.0
2024-05-25,7,9,7,9,0.4375
2024-05-26,2,14,2,14,0.125
2024-05-27,93,158,93,158,0.3705179282868526
2024-05-29,67,97,67,97,0.40853658536585363
2024-05-30,5,2,5,2,0.7142857142857143
2024-05-31,4,9,4,9,0.3076923076923077
2024-06-01,9,16,9,16,0.36
2024-06-02,34,59,34,59,0.3655913978494624
2024-06-03,44,26,44,26,0.6285714285714286
2024-06-04,25,28,25,28,0.4716981132075472
2024-06-05,17,37,17,37,0.3148148148148148
2024-06-06,102,132,102,132,0.4358974358974359
2024-06-07,181,259,181,259,0.4113636363636364
2024-06-08,21,8,21,8,0.7241379310344828
2024-06-09,17,0,17,0,1.0
2024-06-10,22,31,22,31,0.41509433962264153
2024-06-11,114,9,114,9,0.926829268292683
2024-06-12,115,139,115,139,0.452755905511811
2024-06-13,76,3,76,3,0.9620253164556962
2024-06-14,31,0,31,0,1.0
2024-06-15,9,69,9,69,0.11538461538461539
2024-06-16,0,11,0,11,0.0
2024-06-17,32,6,32,6,0.8421052631578947
2024-06-18,21,4,21,4,0.84
2024-06-19,3,58,3,58,0.04918032786885246
2024-06-20,0,39,0,39,0.0
2024-06-21,68,12,68,12,0.85
2024-06-22,4,20,4,20,0.16666666666666666
2024-06-23,0,5,0,5,0.0
2024-06-24,25,6,25,6,0.8064516129032258
2024-06-25,11,38,11,38,0.22448979591836735
2024-06-26,41,31,41,31,0.5694444444444444
2024-06-27,12,18,12,18,0.4
2024-06-29,35,40,35,40,0.4666666666666667
2024-06-30,5,9,5,9,0.35714285714285715
2024-07-01,6,58,6,58,0.09375
2024-07-02,13,5,13,5,0.7222222222222222
2024-07-03,18,0,18,0,1.0
2024-07-04,25,0,25,0,1.0
2024-07-05,32,0,32,0,1.0
2024-07-06,17,7,17,7,0.7083333333333334
2024-07-07,0,10,0,10,0.0
2024-07-08,1,0,1,0,1.0
2024-07-09,0,15,0,15,0.0
2024-07-10,10,46,10,46,0.17857142857142858
2024-07-11,10,9,10,9,0.5263157894736842
2024-07-12,19,0,19,0,1.0
2024-07-13,0,17,0,17,0.0
2024-07-14,0,7,0,7,0.0
2024-07-15,2,24,2,24,0.07692307692307693
2024-07-16,0,22,0,22,0.0
2024-07-17,155,196,155,196,0.4415954415954416
2024-07-18,60,0,60,0,1.0
2024-07-19,1,22,1,22,0.043478260869565216
2024-07-20,41,225,41,225,0.15413533834586465
2024-07-21,239,209,239,209,0.5334821428571429
2024-07-22,103,51,103,51,0.6688311688311688
2024-07-23,137,233,137,233,0.37027027027027026
2024-07-24,54,36,54,36,0.6
2024-07-25,77,1,77,1,0.9871794871794872
2024-07-26,43,109,43,109,0.28289473684210525
2024-07-27,9,48,9,48,0.15789473684210525
2024-07-28,15,1,15,1,0.9375
2024-07-29,18,21,18,21,0.46153846153846156
2024-07-30,6,0,6,0,1.0
